"Object designation","Close approach date in UTC","Miss distance in km","Miss distance in au","Miss distance in LD","Diameter in m","H in mag","Maximum
brightness in mag","Relative
velocity in km/s","CAI Index"
"2008TE4","2024-09-21 17:11","3856382","0.025778","10.032","40 - 90*","24.2","22.0","8.3","1.677"
"2024RZ21","2024-09-21 12:19","4479073","0.029941","11.652","27 - 60*","24.9","19.5","18.0","2.628"
"2021SY1","2024-09-21 11:37","7427710","0.049651","19.323","29 - 60*","24.8","19.8","7.8","2.645"
"2024SO2","2024-09-21 11:00","1177325","0.007870","3.063","7 - 16*","27.8","19.6","4.2","2.587"
"2024SD","2024-09-21 10:01","132613","0.000886","0.345","6 - 13*","28.3","14.9","13.9","1.711"
"2024RY15","2024-09-21 06:58","899344","0.006012","2.340","21 - 50*","25.5","16.8","13.6","1.517"
"2018VG","2024-09-20 22:01","5120528","0.034229","13.321","9 - 21*","27.3","22.4","7.3","3.893"
"2024SN3","2024-09-20 21:38","1597767","0.010680","4.157","12 - 26*","26.8","18.4","9.5","2.699"
"2023RX1","2024-09-20 18:30","3884859","0.025969","10.106","2.4 - 5*","30.2","24.0","1.1","3.834"
"2024RB22","2024-09-20 18:10","3303210","0.022081","8.593","30 - 70*","24.5","18.4","2.8","0.971"
"2024QV5","2024-09-20 15:46","5335294","0.035664","13.880","26 - 60*","25.0","21.1","10.6","2.653"
"2024RB10","2024-09-20 15:25","7271643","0.048608","18.917","60 - 130*","23.4","18.6","12.8","1.982"
"2024RH14","2024-09-20 07:43","2778402","0.018572","7.228","15 - 30*","26.2","20.9","11.7","2.912"
"2024RD15","2024-09-20 05:27","7155745","0.047833","18.615","13 - 28*","26.6","21.5","8.2","3.809"
"2024SA1","2024-09-20 03:54","1926431","0.012877","5.012","60 - 140*","23.1","17.0","13.1","0.739"
"2024SK8","2024-09-20 02:50","3743700","0.025025","9.739","28 - 60*","24.9","20.8","13.5","2.361"
"2024SO4","2024-09-20 01:56","1222359","0.008171","3.180","15 - 30*","26.3","19.5","10.0","2.168"
"2024RJ1","2024-09-20 01:24","5883557","0.039329","15.306","30 - 70*","24.6","20.4","8.9","2.376"
"2024SF2","2024-09-19 21:41","2904815","0.019417","7.557","40 - 80*","24.3","18.0","6.3","1.299"
"2024SX4","2024-09-19 19:52","4245138","0.028377","11.044","20 - 50*","25.6","20.3","4.6","2.321"
"2015SH","2024-09-19 10:03","4329294","0.028940","11.263","6 - 14*","28.1","22.9","5.9","4.138"
"2022SW3","2024-09-19 03:38","2543094","0.017000","6.616","29 - 60*","24.8","18.7","9.2","1.799"
"2024RH8","2024-09-18 12:28","3228991","0.021584","8.400","30 - 80*","24.4","18.2","17.4","1.954"
"2024RJ13","2024-09-18 10:48","4083766","0.027298","10.624","16 - 40*","26.1","20.8","13.1","3.202"
"2013FW13","2024-09-18 06:28","3249426","0.021721","8.453","120 - 270*","21.7","16.7","15.6","0.768"
"2024RZ13","2024-09-18 03:42","6345788","0.042419","16.508","13 - 29*","26.6","20.9","8.6","3.714"
"2024RR16","2024-09-17 16:53","5805557","0.038808","15.103","13 - 29*","26.6","21.3","8.6","3.614"
"2024RY10","2024-09-17 15:30","1777739","0.011883","4.625","13 - 28*","26.6","21.4","5.3","2.332"
"2024ON","2024-09-17 10:17","1000052","0.006685","2.602","210 - 500*","20.5","12.0","8.9","-0.810"
"2024SX2","2024-09-17 02:57","4424200","0.029574","11.509","50 - 110*","23.7","21.1","12.3","1.700"
"2017XR","2024-09-16 17:38","4755986","0.031792","12.373","50 - 110*","23.7","19.3","23.2","1.930"
"2024RQ","2024-09-16 10:36","524216","0.003504","1.364","24 - 50*","25.2","14.5","6.7","0.518"
"2019DJ1","2024-09-15 22:22","3995239","0.026707","10.393","12 - 27*","26.7","22.0","4.9","3.000"
"2024SM6","2024-09-15 20:44","4436921","0.029659","11.542","27 - 60*","24.9","21.5","14.4","2.561"
"2024RS4","2024-09-15 17:12","2501925","0.016724","6.509","15 - 30*","26.3","19.8","10.5","2.798"
"2024SD5","2024-09-15 10:45","5310934","0.035501","13.816","19 - 40*","25.7","21.0","9.5","3.059"
"2024RQ5","2024-09-15 05:56","431250","0.002883","1.122","7 - 15*","27.9","17.1","5.9","2.036"
"2024RM10","2024-09-15 04:08","1993679","0.013327","5.186","18 - 40*","25.8","17.2","6.6","2.073"
"2024RT3","2024-09-14 23:59","6258226","0.041834","16.281","17 - 40*","26.0","21.1","9.6","3.367"
"2024RK13","2024-09-14 21:04","1023772","0.006843","2.663","6 - 13*","28.3","18.8","5.6","2.963"
"2010SP3","2024-09-14 15:19","2011772","0.013448","5.234","28 - 60*","24.9","17.8","17.5","1.901"
"2024RN16","2024-09-14 08:45","1680444","0.011233","4.372","26 - 60*","25.0","18.0","29.1","1.915"
"2024RB13","2024-09-14 07:04","2116410","0.014147","5.506","6 - 14*","28.1","20.2","9.8","3.783"
"2024RB16","2024-09-14 05:40","7034983","0.047026","18.301","18 - 40*","25.9","20.3","7.5","3.256"
"2024RL10","2024-09-14 00:23","1491991","0.009973","3.881","8 - 19*","27.5","18.2","5.7","2.816"
"2024RZ10","2024-09-13 22:11","5353414","0.035785","13.927","26 - 60*","25.1","20.7","10.9","2.717"
"2024RB11","2024-09-13 20:18","1851498","0.012376","4.817","11 - 24*","26.9","19.1","10.2","2.962"
"2024RH32","2024-09-13 10:18","534726","0.003574","1.391","10 - 22*","27.2","17.2","14.4","2.177"
"2024RC42","2024-09-12 19:31","21648","0.000145","0.056","0.9 - 2.1*","32.3","16.0","9.6","2.053"
"2024RL4","2024-09-12 18:06","4822506","0.032236","12.546","18 - 40*","25.8","20.6","16.8","3.244"
"2024RJ29","2024-09-12 17:39","3832712","0.025620","9.971","18 - 40*","25.8","18.9","10.0","2.839"
"2024RF3","2024-09-12 08:02","1804552","0.012063","4.694","10 - 21*","27.2","19.7","6.5","2.857"
"2024RL16","2024-09-12 07:56","7445236","0.049768","19.369","17 - 40*","25.9","20.7","5.0","3.091"
"2024RT12","2024-09-12 07:04","3921936","0.026217","10.203","18 - 40*","25.9","18.5","7.4","2.764"
"2024QS1","2024-09-12 06:01","4623789","0.030908","12.029","100 - 230*","22.1","18.2","14.3","1.163"
"2024RH2","2024-09-12 04:08","2990587","0.019991","7.780","27 - 60*","25.0","18.3","4.2","1.539"
"2024RL8","2024-09-11 22:50","429034","0.002868","1.116","9 - 20*","27.4","17.5","13.3","2.091"
"2024RM16","2024-09-11 18:25","2579694","0.017244","6.711","16 - 40*","26.1","18.0","11.6","2.739"
"2024RO1","2024-09-11 17:09","3502518","0.023413","9.112","19 - 40*","25.8","20.5","9.4","2.725"
"2016TU19","2024-09-11 15:53","4681855","0.031296","12.180","40 - 80*","24.4","20.7","10.0","2.056"
"2024RW4","2024-09-11 12:56","3311162","0.022134","8.614","28 - 60*","24.9","17.8","5.1","1.724"
"2024RY3","2024-09-11 02:59","1350918","0.009030","3.514","11 - 25*","26.9","18.4","14.1","2.771"
"2024RX13","2024-09-11 02:37","85723","0.000573","0.223","1.7 - 4*","31.0","17.2","5.6","2.285"
"2024RM3","2024-09-10 15:51","1837470","0.012283","4.780","14 - 30*","26.4","18.3","6.2","2.315"
"2024RH","2024-09-10 15:24","6420666","0.042919","16.703","20 - 40*","25.6","20.0","11.4","3.234"
"2024RW13","2024-09-10 10:14","411090","0.002748","1.069","11 - 24*","27.0","15.6","22.3","1.939"
"2011DX4","2024-09-10 08:35","5888565","0.039363","15.319","14 - 30*","26.4","22.4","19.1","3.830"
"2024RJ12","2024-09-10 07:16","671558","0.004489","1.747","8 - 17*","27.7","16.6","5.4","2.194"
"2024RA14","2024-09-10 05:26","1289768","0.008622","3.355","27 - 60*","24.9","16.8","11.8","1.406"
"2024SW1","2024-09-10 02:47","4184517","0.027972","10.886","27 - 60*","25.0","20.9","13.3","2.510"
"2024RH13","2024-09-10 00:27","6444307","0.043078","16.765","9 - 21*","27.3","21.0","7.1","4.074"
"2024RN3","2024-09-09 19:53","684195","0.004574","1.780","14 - 30*","26.4","16.6","9.2","1.695"
"2024PM6","2024-09-09 16:24","5350623","0.035767","13.919","40 - 90*","24.1","18.9","9.0","1.970"
"2024RS16","2024-09-09 15:35","254733","0.001703","0.663","4 - 9*","29.1","17.4","11.5","2.585"
"2024RJ","2024-09-09 15:01","2040099","0.013637","5.307","14 - 30*","26.5","18.8","11.9","2.805"
"2023SP2","2024-09-09 14:48","5857354","0.039154","15.238","6 - 14*","28.2","23.8","4.2","4.172"
"2024RE1","2024-09-09 14:46","3454163","0.023090","8.986","21 - 50*","25.5","19.1","13.2","2.687"
"2024RK8","2024-09-09 10:03","1421780","0.009504","3.699","13 - 28*","26.6","17.2","5.5","2.165"
"2024RN1","2024-09-09 04:29","1388836","0.009284","3.613","15 - 30*","26.2","18.6","16.6","2.432"
"2024QS","2024-09-09 00:38","4642865","0.031036","12.078","30 - 70*","24.6","19.4","9.3","2.143"
"2024RX7","2024-09-09 00:37","5060606","0.033828","13.165","17 - 40*","26.0","20.5","12.5","3.323"
"2024RF2","2024-09-08 23:05","1521884","0.010173","3.959","25 - 60*","25.1","17.8","11.5","1.666"
"2024RC16","2024-09-08 17:30","837589","0.005599","2.179","8 - 18*","27.6","18.5","18.3","2.917"
"2024RH7","2024-09-08 17:23","162993","0.001090","0.424","3 - 7*","29.7","16.7","13.9","2.586"
"2024RY13","2024-09-08 11:31","1185939","0.007928","3.085","3 - 8*","29.5","20.6","3.2","3.301"
"2024RU8","2024-09-08 11:06","4627339","0.030932","12.038","40 - 100*","24.0","18.3","14.1","1.930"
"2024RN43","2024-09-08 09:32","3225242","0.021559","8.390","25 - 60*","25.2","18.8","9.1","2.232"
"2024RW15","2024-09-08 03:35","1326271","0.008866","3.450","8 - 18*","27.6","17.9","6.5","2.837"
"2022SR","2024-09-08 02:28","3759191","0.025129","9.779","30 - 70*","24.7","18.4","6.4","1.799"
"2024RF10","2024-09-08 00:03","587525","0.003927","1.528","8 - 18*","27.6","17.3","8.9","2.339"
"2024RV12","2024-09-07 23:49","1623707","0.010854","4.224","17 - 40*","26.0","17.5","11.9","2.283"
"2024RE16","2024-09-07 22:28","1280206","0.008558","3.330","10 - 23*","27.1","19.2","22.0","2.968"
"2024RB3","2024-09-07 18:45","693157","0.004633","1.803","8 - 18*","27.6","18.5","13.8","2.663"
"2024SW5","2024-09-07 17:02","6296541","0.042090","16.380","18 - 40*","25.9","21.1","8.0","3.230"
"2024RU12","2024-09-07 15:41","6089129","0.040703","15.841","30 - 70*","24.6","20.1","16.6","2.601"
"2024RF4","2024-09-07 14:26","6071205","0.040583","15.794","22 - 50*","25.4","20.6","12.7","3.097"
"2024RH6","2024-09-07 10:35","214795","0.001436","0.559","5 - 12*","28.5","17.4","10.7","2.126"
"2024RR3","2024-09-07 07:50","358750","0.002398","0.933","11 - 25*","26.9","15.8","16.6","1.686"
"2024RW8","2024-09-07 07:36","964215","0.006445","2.508","15 - 30*","26.3","17.1","9.4","1.940"
"2024RD13","2024-09-06 21:32","4038853","0.026998","10.507","14 - 30*","26.4","20.4","17.5","3.510"
"2024RH3","2024-09-06 20:03","1076859","0.007198","2.801","7 - 15*","28.0","19.3","11.2","3.242"
"2024RF","2024-09-06 13:47","4746181","0.031726","12.347","11 - 26*","26.8","21.5","7.9","3.566"
"2024RL2","2024-09-06 09:00","1050080","0.007019","2.732","6 - 13*","28.4","19.2","11.0","3.419"
"2024RS25","2024-09-06 03:37","2858705","0.019109","7.437","11 - 25*","26.9","20.1","9.3","3.254"
"2024RN11","2024-09-06 01:06","4722940","0.031571","12.287","18 - 40*","25.9","20.7","13.1","3.195"
"2024RC13","2024-09-05 11:15","901973","0.006029","2.346","6 - 13*","28.3","18.8","7.1","3.027"
"2024RG2","2024-09-05 10:05","5760541","0.038507","14.986","23 - 50*","25.3","18.9","16.6","3.075"
"2024RC3","2024-09-05 06:37","7172153","0.047943","18.658","24 - 50*","25.2","19.8","11.8","3.067"
"2024RJ2","2024-09-05 04:32","4053070","0.027093","10.544","50 - 120*","23.5","16.2","15.9","1.630"
"2024RB6","2024-09-05 04:04","2093848","0.013997","5.447","8 - 18*","27.7","18.7","7.6","3.363"
"2024RQ10","2024-09-05 03:35","1331401","0.008900","3.464","7 - 17*","27.7","18.8","9.9","3.179"
